country,year,iso_code,population,gdp_x,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,rank,area,landAreaKm,cca2,cca3,netChange,growthRate,worldPercentage,density,densityMi,place,pop1980,pop2000,pop2010,pop2022,pop2023,pop2030,pop2050,region_id,gdp_y,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
France,2005,FRA,60510080.0,2238357176320.0,69.319,2.695,108.799,6.583,56.024,3.39,0.595,0.209,88.144,3.854,5.796,2581.132,156.185,454.635,27.51,-100.0,-1.214,0.0,0.0,4.828,4.954,509.53,569.86,18.077,-0.586,-18.568,52097.117,1.408,0.024,0.423,1046.933,63.35,28798.316,1742.588,11.117,55.278,2.185,10.201,477.126,381.259,23.07,7885.062,-19.248,-2.803,194.314,11.758,4.048,15.135,50.23,-13.559,-24.208,147.409,828.622,50.14,2436.099,8.799,4.676,-0.316,-18.99,1409.812,8370.672,506.51,23298.799,88.883,44.722,-60.33,-11.84,0.734,1.19,1240.675,7462.062,451.53,20503.613,79.235,39.357,-1.385,-15.574,1109.278,211.039,12.77,18332.121,-13.125,-2.238,244.851,14.816,2.241,35.188,12.36,3.87,0.48,2.38,0.287,63.956,7.933,204.267,0.679,0.084,0.392,9417.604,3152.401,-7.255,-20.18,169.137,908.609,54.98,2795.184,9.648,5.365,24.299,0.006,0.03,0.165,0.01,0.497,0.002,0.001,61.681,1.04,2.755,15.865,0.96,45.523,0.168,0.087,23,551695.0,547557.0,FR,FRA,0.004,0.002,0.0081,118.2646,306.3052,250,53713830,58665453,62444567,64626628,64756584,65543452,65827072,ECS,46110.18359,32.0,10.0,3.0,26.0,20.0,9.0,,,,,Yes,Yes,Yes,,67059888,11304163.0,236301207.0,2218682.0,10783405.0,,4867183.0,36748820.0,,,,,,,,100.0,,,,,,17.26,,34.7,25.76,,,22.26,,0.02,,
Germany,2000,DEU,81551680.0,2741356986368.0,92.32,1.233,31.505,2.569,53.095,4.33,0.757,0.064,498.515,3.821,36.514,12165.24,992.096,3637.938,296.68,-4.057,-29.859,8658.149,706.087,51.84,24.876,575.36,572.3,14.35,0.621,24.619,48903.699,1.455,-0.033,-1.104,4502.912,367.22,41590.516,3391.776,64.166,85.046,-0.831,-6.945,829.246,643.641,52.49,10168.348,-5.423,-10.129,2166.166,176.654,9.172,20.793,285.3,20.371,12.461,73.629,266.457,21.73,902.851,3.797,1.846,4.719,25.722,596.403,2514.724,205.08,7313.188,35.834,14.954,3.06,0.532,-0.234,-1.129,481.26,2079.785,169.61,5901.283,29.637,12.067,-1.916,-30.672,1570.435,221.332,18.05,19256.928,16.35,5.706,497.863,40.602,3.154,39.377,10.853,4.33,0.0,15.646,1.468,53.095,0.0,133.087,0.757,0.0,0.272,7017.636,3988.179,32.32,26.851,115.143,434.939,35.47,1411.904,6.198,2.887,-100.0,-0.056,0.0,0.736,0.06,0.0,0.01,0.0,71.852,11.745,28.091,114.651,9.35,344.461,1.634,0.704,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2002,DEU,81443424.0,2851462971392.0,57.137,2.055,69.401,5.652,65.199,5.31,0.912,0.141,497.079,0.222,2.213,12243.454,997.149,3678.627,299.6,0.285,1.934,8342.746,679.462,51.481,24.856,591.96,581.96,14.506,-1.257,-51.076,49257.789,1.407,-1.512,-52.325,4575.446,372.64,41845.691,3408.056,64.032,84.952,-0.155,-1.354,873.128,669.299,54.51,10720.666,-0.261,-0.466,2183.943,177.868,9.367,21.764,289.28,2.155,1.02,69.176,283.878,23.12,849.38,3.973,1.724,1.259,1.249,603.666,2570.128,209.32,7412.095,35.968,15.048,10.0,1.689,-3.773,-21.218,461.706,2023.982,164.84,5669.042,28.325,11.509,-3.343,-53.183,1537.78,227.52,18.53,18881.572,6.166,2.538,536.464,43.691,3.184,38.332,20.43,5.31,0.0,23.077,3.831,65.199,0.0,250.85,0.912,0.0,0.509,7145.574,4011.723,21.493,22.466,141.96,546.146,44.48,1743.052,7.643,3.539,100.0,0.29,0.584,2.333,0.19,7.168,0.033,0.015,50.476,15.271,46.118,194.736,15.86,566.253,2.725,1.15,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2003,DEU,81346808.0,2863394193408.0,43.285,2.447,99.56,8.099,110.023,8.95,1.485,0.202,500.05,1.652,16.471,12460.475,1013.62,3744.831,304.63,-1.069,-7.261,8263.39,672.2,50.558,25.274,599.27,602.54,15.024,-0.031,-1.252,49300.902,1.401,-0.088,-3.0,4804.245,390.81,41858.516,3405.057,64.86,84.904,1.213,10.592,883.72,792.041,64.43,10863.606,4.098,7.289,2276.139,185.157,10.693,22.035,301.3,-22.695,-16.043,53.134,225.209,18.32,653.176,3.04,1.325,1.493,1.748,605.414,2602.806,211.73,7442.384,35.14,15.096,-3.27,-0.546,0.132,-2.353,459.353,2029.09,165.06,5646.851,27.394,11.454,-1.955,-30.063,1507.717,267.374,21.75,18534.434,4.99,2.18,563.901,45.872,3.61,37.595,28.566,8.95,0.0,39.823,8.136,110.023,0.0,351.162,1.485,0.0,0.712,7407.051,4010.471,5.829,4.101,146.061,573.716,46.67,1795.534,7.746,3.642,56.5,0.324,0.908,3.811,0.31,11.159,0.051,0.023,20.804,9.237,55.355,234.674,19.09,680.477,3.168,1.38,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2004,DEU,81266672.0,2929753849856.0,33.295,2.697,132.839,10.795,130.927,10.64,1.743,0.269,487.039,-2.517,-25.51,12158.858,988.11,3676.415,298.77,1.063,7.144,8359.45,679.345,48.956,24.642,607.66,610.28,15.219,-0.014,-0.578,49342.406,1.369,-1.123,-38.246,4740.442,385.24,41429.168,3366.811,63.125,83.963,0.508,4.491,888.211,794.545,64.57,10929.579,-7.465,-13.821,2108.308,171.335,10.58,22.15,297.23,13.233,6.648,59.782,255.332,20.75,735.627,3.4,1.491,7.273,37.668,643.082,2769.155,225.04,7913.237,36.875,16.037,-2.62,-0.431,1.215,2.618,461.972,2055.824,167.07,5684.639,27.376,11.521,-1.143,-17.227,1490.49,269.483,21.9,18340.73,-5.825,-2.672,531.578,43.2,3.589,37.17,33.951,10.64,0.0,18.85,5.385,130.927,0.0,417.768,1.743,0.0,0.847,7509.598,4009.893,25.533,35.05,181.111,713.331,57.97,2228.598,9.499,4.517,77.955,0.697,1.605,6.891,0.56,19.751,0.092,0.04,36.318,19.623,74.978,320.18,26.02,922.613,4.264,1.87,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2005,DEU,81212168.0,2983874265088.0,84.707,9.144,245.528,19.94,181.13,14.71,2.398,0.503,482.565,-4.324,-42.723,11640.955,945.387,3547.99,288.14,-3.152,-21.414,8101.381,657.931,46.973,23.858,608.84,613.41,15.48,-1.179,-47.262,48793.566,1.328,-1.739,-58.555,4764.803,386.96,40735.957,3308.255,63.083,83.486,1.644,14.6,902.81,915.749,74.37,11116.689,-3.448,-5.908,2036.97,165.427,12.124,22.783,296.01,-5.34,-3.55,56.232,241.836,19.64,692.405,3.202,1.419,4.49,11.294,654.376,2788.375,226.45,8057.611,36.917,16.514,-4.57,-0.751,-2.41,-13.986,447.986,2007.704,163.05,5516.237,26.581,11.305,-2.042,-30.432,1460.058,301.063,24.45,17978.311,-1.706,-0.737,522.861,42.463,3.986,36.846,46.945,14.71,0.0,38.274,12.994,181.13,0.0,578.055,2.398,0.0,1.185,7553.178,3962.631,21.255,25.28,206.39,780.671,63.4,2541.374,10.336,5.208,134.829,2.14,3.745,15.761,1.28,46.118,0.209,0.095,6.745,4.551,79.528,341.944,27.77,979.268,4.527,2.007,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2006,DEU,81177816.0,3129394593792.0,59.473,11.859,391.717,31.799,233.315,18.94,3.007,0.783,474.397,4.011,37.924,12113.054,983.311,3559.224,288.93,-5.696,-37.477,7643.141,620.453,45.876,24.205,612.83,629.81,15.503,2.517,99.753,50043.031,1.298,1.583,52.362,4804.638,390.03,41398.223,3360.617,61.928,82.725,1.912,17.258,920.069,950.752,77.18,11333.994,-1.212,-2.005,2013.137,163.422,12.254,22.648,298.78,2.001,0.765,56.996,246.742,20.03,702.117,3.18,1.403,10.269,47.391,701.767,2953.763,239.78,8644.812,38.072,17.275,-16.98,-2.771,2.648,8.97,456.955,2060.538,167.27,5629.066,26.559,11.248,-0.193,-2.821,1457.237,294.662,23.92,17951.174,0.937,0.398,527.986,42.861,3.798,35.871,60.442,18.94,0.0,28.751,13.497,233.315,0.0,744.567,3.007,0.0,1.488,7758.4,4062.384,25.175,38.421,244.812,893.224,72.51,3015.746,11.513,6.026,73.165,2.699,6.445,27.347,2.22,79.392,0.352,0.159,12.782,9.601,89.129,385.82,31.32,1097.953,4.973,2.194,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2007,DEU,81183832.0,3268102848512.0,13.672,4.348,445.241,36.146,303.262,24.62,3.894,0.928,488.668,2.54,24.976,12419.798,1008.287,3659.596,297.1,1.996,12.382,7795.097,632.836,46.986,25.897,615.75,632.31,16.24,-4.159,-168.959,47958.129,1.191,-4.36,-146.51,4956.652,402.4,39590.488,3214.107,63.64,82.552,-3.664,-33.707,886.362,985.664,80.02,10917.961,-8.398,-13.725,1843.931,149.697,12.655,22.766,308.99,5.686,2.864,59.861,260.766,21.17,737.348,3.348,1.537,-2.06,-22.45,679.317,2831.968,229.91,8367.645,36.36,17.448,-16.56,-2.689,-16.027,-75.634,381.321,1731.01,140.53,4697.009,22.225,9.794,-9.455,-137.778,1319.459,311.392,25.28,16252.727,-1.829,-0.784,518.29,42.077,3.998,33.889,78.58,24.62,0.0,30.009,18.138,303.262,0.0,967.931,3.894,0.0,2.018,7788.62,3893.425,20.338,53.185,297.996,1100.958,89.38,3670.635,14.135,7.654,38.499,2.425,8.87,37.939,3.08,109.261,0.487,0.228,29.316,25.409,114.538,498.991,40.51,1410.853,6.407,2.942,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2008,DEU,81217488.0,3340933005312.0,-12.259,-4.431,390.498,31.715,345.0,28.02,4.425,0.806,468.493,-7.585,-76.479,11473.0,931.808,3388.556,275.21,-7.936,-50.22,7173.526,582.616,43.463,23.682,613.1,633.2,16.093,1.059,41.237,48445.984,1.178,0.366,11.776,4807.216,390.43,39719.078,3225.884,61.66,81.986,0.975,8.644,895.006,1116.755,90.7,11019.871,-8.916,-13.347,1678.834,136.351,14.324,22.747,296.65,-3.434,-2.415,57.446,251.67,20.44,707.311,3.228,1.46,3.288,29.46,708.777,2989.135,242.77,8726.906,38.34,18.014,-20.1,-3.278,5.865,19.859,401.18,1828.301,148.49,4939.579,23.451,10.196,6.034,79.611,1399.069,301.905,24.52,17226.207,-9.279,-3.904,470.005,38.173,3.872,35.558,89.474,28.04,0.02,13.874,10.893,345.246,0.246,1101.658,4.428,0.003,2.274,7796.35,3934.661,0.403,9.601,307.597,1160.834,94.28,3787.327,14.889,7.818,43.704,3.797,12.668,54.422,4.42,155.973,0.698,0.322,2.168,1.756,116.294,509.496,41.38,1431.887,6.535,2.956,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2009,DEU,81260624.0,3189039955968.0,-0.639,-0.203,387.797,31.513,380.135,30.89,5.245,0.853,464.665,-10.465,-97.516,10266.872,834.292,3118.977,253.45,-7.348,-42.813,6642.857,539.803,43.035,22.596,576.67,588.94,15.951,-6.163,-242.481,45436.277,1.158,-6.431,-207.452,4406.439,358.07,37145.078,3018.432,60.799,81.752,-5.665,-50.705,844.301,1015.867,82.55,10390.04,-6.519,-8.889,1568.554,127.462,14.017,22.867,273.66,-6.907,-4.298,53.148,234.185,19.03,654.045,3.231,1.439,-4.491,-35.029,673.748,2841.105,230.87,8291.201,39.201,18.248,-12.27,-2.128,-9.306,-39.579,361.601,1660.46,134.93,4449.891,22.911,9.794,-4.234,-59.231,1339.838,271.595,22.07,16488.162,-8.584,-3.277,429.433,34.896,3.747,36.289,98.645,30.91,0.02,10.25,9.171,380.381,0.246,1213.931,5.248,0.003,2.672,7247.544,3692.18,1.19,4.55,312.147,1180.646,95.94,3841.31,16.29,8.454,48.957,6.085,18.753,80.974,6.58,230.777,1.117,0.508,-4.748,-6.206,110.089,485.106,39.42,1354.761,6.693,2.982,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2010,DEU,81325088.0,3356793241600.0,0.094,0.03,387.854,31.542,417.091,33.92,5.43,0.82,462.202,7.417,61.88,11019.628,896.172,3232.582,262.89,-1.113,-6.008,6563.718,533.795,42.087,23.294,609.69,624.64,16.236,4.197,154.97,47305.82,1.146,3.846,116.097,4659.079,378.9,38543.195,3134.529,60.659,81.477,4.313,36.411,880.712,1114.908,90.67,10829.53,-12.727,-16.222,1367.843,111.24,14.516,22.893,288.71,10.099,5.009,58.157,257.608,20.95,715.114,3.354,1.512,5.713,38.873,712.621,3021.7,245.74,8762.625,39.341,18.523,-14.95,-2.452,4.168,12.761,374.362,1728.372,140.56,4603.274,22.503,9.731,1.329,17.806,1357.644,311.589,25.34,16694.041,-10.91,-3.807,382.276,31.089,4.057,35.29,108.366,33.95,0.03,9.859,9.721,417.46,0.369,1332.505,5.435,0.005,2.817,7680.779,3847.15,7.347,26.112,338.26,1293.328,105.18,4159.35,16.838,8.792,78.153,14.451,33.204,144.236,11.73,408.29,1.878,0.863,-2.215,-3.098,106.99,474.023,38.55,1315.587,6.172,2.781,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2011,DEU,81423384.0,3519131418624.0,4.141,1.306,403.426,32.848,453.064,36.89,6.096,0.885,472.594,1.631,14.619,11185.866,910.791,3223.398,262.46,1.815,9.688,6674.771,543.482,43.37,24.546,601.4,605.17,16.309,-3.55,-136.564,45571.504,1.054,-3.25,-101.86,4582.959,373.16,37245.68,3032.669,61.662,81.73,-8.187,-72.105,808.607,1075.612,87.58,9930.896,-5.92,-6.585,1285.313,104.655,14.472,21.792,286.0,-15.664,-9.409,48.748,217.014,17.67,598.7,2.92,1.314,-4.419,-34.704,677.917,2849.427,232.01,8325.828,38.338,18.27,-3.77,-0.627,-23.183,-88.541,285.821,1326.032,107.97,3510.303,17.841,7.703,-3.268,-44.373,1313.271,283.948,23.12,16128.915,4.082,1.269,397.399,32.358,3.82,35.393,117.813,36.91,0.02,8.713,9.447,453.31,0.246,1446.923,6.099,0.003,3.175,7432.385,3710.586,14.837,53.837,392.096,1523.395,124.04,4815.525,20.497,10.567,67.107,21.944,55.148,240.717,19.6,677.302,3.239,1.486,29.341,30.548,137.538,612.355,49.86,1689.174,8.239,3.707,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2012,DEU,81545568.0,3536438165504.0,6.528,2.144,429.117,34.993,529.765,43.2,6.963,0.93,475.153,2.776,25.283,11479.154,936.074,3387.431,276.23,2.229,12.113,6813.311,555.595,44.525,24.883,599.85,620.39,16.491,1.383,51.329,46132.672,1.064,0.656,19.895,4634.096,377.89,37433.844,3052.564,60.912,81.144,0.308,2.493,811.101,956.52,78.0,9946.593,-9.594,-10.041,1160.256,94.614,12.573,21.561,294.78,23.111,10.903,59.651,266.722,21.75,731.503,3.506,1.586,4.755,31.434,709.351,2973.797,242.5,8698.826,39.088,18.856,-20.54,-3.424,-7.883,-24.127,261.694,1219.686,99.46,3209.177,16.032,6.956,-0.6,-7.882,1305.389,290.145,23.66,16008.096,0.274,0.089,397.891,32.446,3.814,34.7,137.98,43.23,0.03,17.119,20.166,530.133,0.368,1692.056,6.968,0.005,3.668,7607.894,3761.915,13.43,55.56,447.656,1754.111,143.04,5489.648,23.056,11.9,33.78,18.182,73.33,323.5,26.38,899.256,4.252,1.949,3.656,4.165,141.703,633.756,51.68,1737.718,8.33,3.767,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2013,DEU,81680592.0,3553715290112.0,-10.518,-3.681,383.346,31.312,557.17,45.51,7.211,0.809,477.541,2.919,27.324,11794.707,963.399,3528.378,288.2,-5.551,-30.839,6424.489,524.756,45.663,24.904,598.96,631.15,16.315,2.834,106.604,47361.547,1.089,3.107,94.841,4670.877,381.52,38533.078,3147.405,60.448,81.359,4.764,38.643,849.743,845.366,69.05,10403.247,-9.061,-8.572,1053.387,86.041,10.94,21.966,301.4,5.714,3.028,62.679,281.585,23.0,767.369,3.644,1.62,0.968,11.764,721.115,3056.173,249.63,8828.474,39.552,18.641,-32.19,-5.374,-2.182,-7.252,254.443,1191.103,97.29,3115.092,15.415,6.577,2.212,28.873,1334.262,297.133,24.27,16335.122,0.83,0.269,400.532,32.716,3.845,34.49,145.496,45.59,0.08,5.47,7.516,558.15,0.979,1781.28,7.223,0.013,3.761,7727.05,3868.519,2.725,19.016,466.672,1865.07,152.34,5713.383,24.137,12.063,14.497,10.125,83.455,379.65,31.01,1021.724,4.913,2.157,2.045,2.027,143.73,645.686,52.74,1759.664,8.356,3.715,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
Germany,2014,DEU,81858824.0,3610400784384.0,4.852,1.519,401.073,32.831,589.918,48.29,7.789,0.885,463.102,-3.893,-37.504,11310.875,925.895,3352.235,274.41,-2.188,-11.48,6270.265,513.276,44.263,24.954,586.07,619.95,16.708,-4.086,-158.058,45327.562,1.028,-5.854,-184.241,4401.236,360.28,36198.457,2963.163,58.114,79.86,-13.038,-110.793,738.95,764.731,62.6,9027.131,-6.06,-5.214,987.4,80.827,10.098,19.915,287.1,-14.832,-9.616,53.063,239.314,19.59,648.227,3.16,1.43,4.037,26.183,747.298,3172.169,259.67,9129.104,41.886,20.14,-33.88,-5.781,-0.165,-1.942,252.5,1186.555,97.13,3084.583,15.667,6.805,-2.694,-35.944,1298.318,284.27,23.27,15860.452,-6.742,-2.206,372.713,30.51,3.754,34.991,154.397,48.39,0.1,6.124,8.901,591.14,1.222,1886.134,7.805,0.016,4.161,7573.404,3710.461,6.268,28.125,494.797,1985.614,162.54,6044.521,26.218,13.335,15.764,12.577,96.032,440.515,36.06,1173.143,5.817,2.588,10.922,14.744,158.474,714.645,58.5,1935.944,9.436,4.271,19,357114.0,349390.0,DE,DEU,-0.0012,-0.0009,0.0104,238.4002,617.4564,276,77786703,81551677,81325090,83369843,83294633,82762675,78932228,ECS,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,,Yes,Yes,Yes,Yes,83132800,15011037.0,275413069.0,2465085.0,21812660.0,,8821344.0,50627876.0,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
